Authors,Author(s) ID,Link
"Xu C., Tang X., Lü H., Alfaro-Bittner K., Boccaletti S., Perc M., Guan S.","56718849200;57224666797;7404842497;57197750536;7006291912;6505878570;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117136286&doi=10.1103%2fPhysRevResearch.3.043004&partnerID=40&md5=1d7ef8ea728ea5d3dc726b817b3d245e"
"Vasilyeva E., Kozlov A., Alfaro-Bittner K., Musatov D., Raigorodskii A.M., Perc M., Boccaletti S.","57221726568;57222359159;57197750536;36786813600;6603605028;6505878570;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102415640&doi=10.1038%2fs41598-021-85133-5&partnerID=40&md5=9949fe4adb38961e8bb4d2bf722b428e"
"Kovalenko K., Sendiña-Nadal I., Khalil N., Dainiak A., Musatov D., Raigorodskii A.M., Alfaro-Bittner K., Barzel B., Boccaletti S.","57219750789;6602499111;57196507700;57219751677;36786813600;6603605028;57197750536;16177460500;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102168738&doi=10.1038%2fs42005-021-00538-y&partnerID=40&md5=2f5798e15122664e3f2ebb5d16d6cd57"
"Gambuzza L.V., Di Patti F., Gallo L., Lepri S., Romance M., Criado R., Frasca M., Latora V., Boccaletti S.","50061257600;9843106000;57219694359;7003964440;15731654400;6603726429;7006655104;7003540219;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101408513&doi=10.1038%2fs41467-021-21486-9&partnerID=40&md5=6781f485a993db28496a83f992966c24"
"Li Z., Deng Z., Han Z., Alfaro-Bittner K., Barzel B., Boccaletti S.","57279450100;57226256836;57226253613;57197750536;16177460500;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113490780&doi=10.1016%2fj.chaos.2021.111307&partnerID=40&md5=09e8e89bdcec3ddac90c000f9b083b8a"
"Guo H., Jia D., Sendiña-Nadal I., Zhang M., Wang Z., Li X., Alfaro-Bittner K., Moreno Y., Boccaletti S.","57195231599;57196482152;6602499111;57220042621;57192377511;57203418700;57197750536;7004893698;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126755623&doi=10.1016%2fj.chaos.2021.111103&partnerID=40&md5=d3b2905a4adb0d67eb2963172849ea33"
"Zhuk A., Sendiña-Nadal I., Leyva I., Musatov D., Raigorodskii A.M., Perc M., Boccaletti S.","57226340830;6602499111;55398853600;36786813600;6603605028;6505878570;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116927127&doi=10.1088%2f1367-2630%2fac264d&partnerID=40&md5=f120f5cba53b3ec36cfbbdc876ce9418"
"Dai X., Kovalenko K., Molodyk M., Wang Z., Li X., Musatov D., Raigorodskii A.M., Alfaro-Bittner K., Cooper G.D., Bianconi G., Boccaletti S.","57209105601;57219750789;57222666405;57192377511;55936260100;36786813600;6603605028;57197750536;57210830549;6701555846;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103691729&doi=10.1016%2fj.chaos.2021.110888&partnerID=40&md5=0b51fa7b0725cbb2af02c1046899d3de"
"Parastesh F., Jafari S., Azarnoush H., Shahriari Z., Wang Z., Boccaletti S., Perc M.","57201377890;55196116900;35085758700;57202600968;57192377511;7006291912;6505878570;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095980653&doi=10.1016%2fj.physrep.2020.10.003&partnerID=40&md5=47862d4771f9af071bc7cb4a85a23ad9"
"Boccaletti S., Bi H., Qiu T., Bonamassa I., Guan S.","7006291912;56448041500;57224717715;57191889324;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114377184&doi=10.1007%2f978-981-16-2853-5_7&partnerID=40&md5=ac33f04f138509f6fd4896b6606e1fcf"
"Tassinari G., Drabik D., Boccaletti S., Soregaroli C.","57226305504;55912488500;7006291912;15133256400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111097024&doi=10.17221%2f21%2f2021-AGRICECON&partnerID=40&md5=c919bdd626bcdd5916fddb49b8936acd"
"Gambuzza L.V., Frasca M., Sorrentino F., Pecora L.M., Boccaletti S.","50061257600;7006655104;57203233721;7005178558;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096835938&doi=10.1109%2fTNSE.2020.3037039&partnerID=40&md5=671e377e9906e5a5e2eeade1ce81ab73"
"Li X., Dai X., Jia D., Guo H., Li S., Cooper G.D., Alfaro-Bittner K., Perc M., Boccaletti S., Wang Z.","55936260100;57209105601;57196482152;57195231599;8543868700;57210830549;57197750536;6505878570;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098620204&doi=10.1088%2f1367-2630%2fabce32&partnerID=40&md5=803f861510ac69dbd7cd4b74d04200b1"
"Gutiérrez R., Materassi M., Focardi S., Boccaletti S.","36898262500;6701596934;7006573563;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096707150&doi=10.1038%2fs41598-020-77663-1&partnerID=40&md5=627e647795b2eed49047eacf79e74dc6"
"Dai X., Li X., Guo H., Jia D., Perc M., Manshour P., Wang Z., Boccaletti S.","57209105601;55936260100;57195231599;57196482152;6505878570;26021958600;57192377511;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096127591&doi=10.1103%2fPhysRevLett.125.194101&partnerID=40&md5=eb987637d08a859500eab3d303b6d64a"
"Sendiña-Nadal I., Leyva I., Perc M., Papo D., Jusup M., Wang Z., Almendral J.A., Manshour P., Boccaletti S.","6602499111;55398853600;6505878570;7801385624;15136099300;57192377511;7006920889;26021958600;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102671534&doi=10.1103%2fPhysRevResearch.2.043168&partnerID=40&md5=a059b58dbfcee09c872b7614b44535ea"
"Zhang X., Ruan Z., Zheng M., Barzel B., Boccaletti S.","55802361800;55372549700;56454703700;16177460500;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088137629&doi=10.1016%2fj.chaos.2020.110130&partnerID=40&md5=597ff046bb079e10e0f6077355e5bfc1"
"Boccaletti S., Mindlin G., Ditto W., Atangana A.","7006291912;7003648271;57216255211;55659450400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090576994&doi=10.1016%2fj.chaos.2020.110278&partnerID=40&md5=93697b1936f253daf585cb772f104018"
"Guo H., Li X., Hu K., Dai X., Jia D., Boccaletti S., Perc M., Wang Z.","57195231599;55936260100;57204391274;57209105601;57196482152;7006291912;6505878570;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095721341&doi=10.1088%2f1367-2630%2fab9e89&partnerID=40&md5=d3a3a38118171baa378d20b8715ca7c1"
"Wang Z., Jusup M., Guo H., Shi L., Geček S., Anand M., Perc M., Bauch C.T., Kurths J., Boccaletti S., Schellnhuber H.J.","57192377511;15136099300;57195231599;56589311400;15744135000;57203105820;6505878570;35619116700;35317963900;7006291912;7003595192;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088880199&doi=10.1073%2fpnas.1922345117&partnerID=40&md5=434e5ff2053ac6af4e9e1dbd8a129569"
"Shi L., Shen C., Shi Q., Wang Z., Zhao J., Li X., Boccaletti S.","56589311400;57189907444;57219002394;57192377511;55729943100;55936260100;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086738218&doi=10.1109%2fTNSE.2020.2970997&partnerID=40&md5=82ea658566bebd196c89cd02d1d55fe5"
"Zhang J., Boccaletti S., Liu Z., Guan S.","57208154753;7006291912;8579798700;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083520338&doi=10.1016%2fj.chaos.2020.109777&partnerID=40&md5=90be4ff339576320b531c5a2fa890f9e"
"Boccaletti S., Ditto W., Mindlin G., Atangana A.","7006291912;57216255211;7003648271;55659450400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082972469&doi=10.1016%2fj.chaos.2020.109794&partnerID=40&md5=091fe04679ada00e73ec18312f9093c4"
"Guo H., Song Z., Geček S., Li X., Jusup M., Perc M., Moreno Y., Boccaletti S., Wang Z.","57195231599;57211868212;15744135000;55936260100;15136099300;6505878570;7004893698;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081030367&doi=10.1098%2frsif.2019.0789&partnerID=40&md5=a60937d1162bf55ea30a9d553a82a6ff"
"Dai X., Li X., Gutiérrez R., Guo H., Jia D., Perc M., Manshour P., Wang Z., Boccaletti S.","57209105601;55936260100;36898262500;57195231599;57196482152;6505878570;26021958600;57192377511;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078446624&doi=10.1016%2fj.chaos.2019.109589&partnerID=40&md5=f01c3f86223b1c89ddd6dd43a1802126"
"Kachhvah A.D., Dai X., Boccaletti S., Jalan S.","37057324000;57209105601;7006291912;56152342900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101153697&doi=10.1088%2f1367-2630%2fabcf6b&partnerID=40&md5=9302bdd99babfaafb0cf366da94bf5df"
"Qiu T., Boccaletti S., Liu Z., Guan S.","57224717715;7006291912;8579798700;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075601225&doi=10.1103%2fPhysRevE.100.052310&partnerID=40&md5=6a28fae13fec0cec09875c19b12692f7"
"Xu C., Boccaletti S., Zheng Z., Guan S.","56718849200;7006291912;7403007861;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075788062&doi=10.1088%2f1367-2630%2fab4f59&partnerID=40&md5=aa5603ce21709ee4955d79d3d9b9bba2"
"Duan D., Lv C., Si S., Wang Z., Li D., Gao J., Havlin S., Eugene Stanley H., Boccaletti S.","54388879400;57192905890;14520736900;57192377511;37057582400;36006320400;35397372900;35375959000;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074529278&doi=10.1073%2fpnas.1904421116&partnerID=40&md5=5c48dfe4260153cab41a256e724a8cce"
"Xu C., Gao J., Boccaletti S., Zheng Z., Guan S.","56718849200;57212121864;7006291912;7403007861;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071969585&doi=10.1103%2fPhysRevE.100.012212&partnerID=40&md5=ead1ee89dc429b08661470297456bdd6"
"Chu C., Mu C., Liu J., Liu C., Boccaletti S., Shi L., Wang Z.","57193084786;57209689583;38761711800;57204000310;7006291912;56589311400;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070650199&doi=10.1088%2f1367-2630%2fab0999&partnerID=40&md5=57b3fd3ece7e963649d7af704d612f3b"
"Li X., Qiu T., Boccaletti S., Sendiña-Nadal I., Liu Z., Guan S.","57208146500;57224717715;7006291912;6602499111;8579798700;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069534928&doi=10.1088%2f1367-2630%2fab1ad5&partnerID=40&md5=507e4860e55197972b70bcdd59e4ed60"
"Shi L., Shen C., Geng Y., Chu C., Meng H., Perc M., Boccaletti S., Wang Z.","56589311400;57189907444;57196297152;57193084786;57200965396;6505878570;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060586782&doi=10.1007%2fs11071-019-04772-6&partnerID=40&md5=773a1d2049b7b967f9e34c8b698c7541"
"Zhou J.-F., Yuan W.-J., Chen D., Wang B.-H., Zhou Z., Boccaletti S., Wang Z.","35202860700;15069859100;8410036000;36858978500;57102162500;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064071129&doi=10.1103%2fPhysRevE.99.032419&partnerID=40&md5=621022ed43bc22550a900ba8982badb4"
"Danziger M.M., Bonamassa I., Boccaletti S., Havlin S.","56038392800;57191889324;7006291912;35397372900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057344115&doi=10.1038%2fs41567-018-0343-1&partnerID=40&md5=78d8f584297c22db30dfa141797706a2"
"Jia D., Shen C., Li X., Boccaletti S., Wang Z.","57196482152;57189907444;55936260100;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075007698&doi=10.1209%2f0295-5075%2f127%2f68002&partnerID=40&md5=e835e77a505e2b257b010a88bdad8ac2"
"Pitsik E., Makarov V., Boccaletti S.","57192586726;56459531300;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068566925&doi=10.1117%2f12.2527748&partnerID=40&md5=09d7e43f01b229cb0d6e4c5622b43d89"
"de Santos-Sierra D., Leyva I., Almendral J.A., Boccaletti S., Sendiña-Nadal I.","36138601900;55398853600;7006920889;7006291912;6602499111;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065419623&doi=10.1007%2f978-3-030-16585-7_4&partnerID=40&md5=fbbde5d2c674d47557b109edee052978"
"Chu C., Hu X., Shen C., Li T., Boccaletti S., Shi L., Wang Z.","57193084786;57205618682;57189907444;57217781875;7006291912;56589311400;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060808486&doi=10.1063%2f1.5059360&partnerID=40&md5=c58dca2dca1407b58a47b4b6c56ee104"
"Liu C., Shen C., Geng Y., Li S., Xia C., Tian Z., Shi L., Wang R., Boccaletti S., Wang Z.","57204000310;57189907444;57196297152;8543868700;16205447200;9636602700;56589311400;55793955200;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059883905&doi=10.1088%2f1367-2630%2faaf334&partnerID=40&md5=b7e56152efae53f7e66bd9d94752dcbc"
"Makarov V.V., Kirsanov D.V., Frolov N.S., Maksimenko V.A., Li X., Wang Z., Hramov A.E., Boccaletti S.","56459531300;57194146935;16498801300;56572360300;55936260100;57192377511;6603156741;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053296799&doi=10.1038%2fs41598-018-32160-4&partnerID=40&md5=395b5c31895a99cd7a8300534bd199e6"
"Qiu T., Bonamassa I., Boccaletti S., Liu Z., Guan S.","57224717715;57191889324;7006291912;8579798700;7101750424;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052374060&doi=10.1038%2fs41598-018-31278-9&partnerID=40&md5=647f0cb113458ec234a1e7738dd2a0d2"
"Wang Z., Jusup M., Shi L., Lee J.-H., Iwasa Y., Boccaletti S.","57192377511;15136099300;56589311400;47962001600;57204609229;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050763977&doi=10.1038%2fs41467-018-05259-5&partnerID=40&md5=a69a607d724dc18317e4a9bf7f6b89bd"
"Leyva I., Sendiña-Nadal I., Sevilla-Escoboza R., Vera-Avila V.P., Chholak P., Boccaletti S.","55398853600;6602499111;26654545800;56442766200;57202377690;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048137296&doi=10.1038%2fs41598-018-26945-w&partnerID=40&md5=11b19028692d93474f16a02f55649b69"
"Xu C., Boccaletti S., Guan S., Zheng Z.","56718849200;7006291912;7101750424;7403007861;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057521229&doi=10.1103%2fPhysRevE.98.050202&partnerID=40&md5=dbece40ac38e98f2c88dae6da9dbe9b1"
"Martínez J.H., Boccaletti S., Makarov V.V., Buldú J.M.","56529959600;7006291912;56459531300;6602820274;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050271626&doi=10.1016%2fj.physa.2018.07.008&partnerID=40&md5=412a135d7fe6e9df98aba2378c1c4002"
"Lahav N., Sendiña-Nadal I., Hens C., Ksherim B., Barzel B., Cohen R., Boccaletti S.","57190874030;6602499111;37065998300;23482063600;16177460500;57205615349;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056538520&doi=10.1103%2fPhysRevE.98.052204&partnerID=40&md5=9791a8ca73014ba3f0218257e15c1bd9"
"Goremyko M.V., Makarov V.V., Hramov A.E., Kirsanov D.V., Maksimenko V.A., Ivanov A.V., Yashkov I.A., Boccaletti S.","57191907277;56459531300;6603156741;57194146935;56572360300;56945673500;57200753525;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051922245&doi=10.1088%2f1755-1315%2f177%2f1%2f012017&partnerID=40&md5=71cd861e5a5ec5d2a2b4f2c764a3caf2"
"Pitsik E., Makarov V., Kirsanov D., Frolov N., Goremyko M., Li X., Wang Z., Hramov A., Boccaletti S.","57192586726;56459531300;57194146935;16498801300;57191907277;55936260100;57192377511;6603156741;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051625232&doi=10.1088%2f1367-2630%2faad00d&partnerID=40&md5=5acb2e4dce04030dd432e012ae81c9fd"
"Leyva I., Sendiña-Nadal I., Boccaletti S.","55398853600;6602499111;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050141963&doi=10.3934%2fdcdsb.2018189&partnerID=40&md5=7d62e4c4cdf5abb2ea33f8974e4fac4d"
"Avalos-Gaytán V., Almendral J.A., Leyva I., Battiston F., Nicosia V., Latora V., Boccaletti S.","55330535900;7006920889;55398853600;56122454100;14054540300;7003540219;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044993010&doi=10.1103%2fPhysRevE.97.042301&partnerID=40&md5=d26cfaea4e699834e021dcc3b171cbee"
"Yuan W.-J., Zhou J.-F., Sendiña-Nadal I., Boccaletti S., Wang Z.","15069859100;35202860700;6602499111;7006291912;57192377511;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042107557&doi=10.1103%2fPhysRevE.97.022211&partnerID=40&md5=42cdcaf3a552ae0954545465136b7bce"
"Zheng M., Wang W., Tang M., Zhou J., Boccaletti S., Liu Z.","56454703700;56948517000;14421628700;56953736400;7006291912;8579798700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039998681&doi=10.1016%2fj.chaos.2017.12.026&partnerID=40&md5=0e3300bc8d3adbe398bffed3e5c2f306"
"Li X., Jusup M., Wang Z., Li H., Shi L., Podobnik B., Eugene Stanley H., Havlin S., Boccaletti S.","55936260100;15136099300;57192377511;36682474500;56589311400;7004220065;35375959000;35397372900;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040198677&doi=10.1073%2fpnas.1707505115&partnerID=40&md5=e87e5c8ff9084ca6a27a6c72a7160fec"
"Boccaletti S., Pisarchik A.N., Del Genio C.I., Amann A.","7006291912;7005864666;26657868400;7007093573;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037048008&doi=10.1017%2f9781107297111&partnerID=40&md5=07b39bca895e855e67e9dfcff8ae4fc1"
"Koronovskii A.A., Kurovskaya M.K., Moskalenko O.I., Hramov A., Boccaletti S.","7004189995;8848465300;10038769200;6603156741;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039925166&doi=10.1103%2fPhysRevE.96.062312&partnerID=40&md5=41d1f2c93d2b75af7dd6b2b6e96eedfa"
"Makarov V.V., Hramov A.E., Kirsanov D.V., Maksimenko V.A., Goremyko M.V., Ivanov A.V., Yashkov I.A., Boccaletti S.","56459531300;6603156741;57194146935;56572360300;57191907277;56945673500;57200753525;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042384239&doi=10.1038%2fs41598-017-17576-8&partnerID=40&md5=6d10570d6c4205fa2a826655036df622"
"Zhou J., Zou Y., Guan S., Liu Z., Xiao G., Boccaletti S.","56953736400;35308570800;7101750424;8579798700;7201917092;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034830228&doi=10.1038%2fs41598-017-16235-2&partnerID=40&md5=88a64b049f92eec1d7d124874e44e9b3"
"Wang Z., Moreno Y., Boccaletti S., Perc M.","57192377511;7004893698;7006291912;6505878570;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020395535&doi=10.1016%2fj.chaos.2017.06.004&partnerID=40&md5=d2ebcfe0fc54f97cc25332eda0fdb274"
"Gao Z.-K., Yang Y.-X., Dang W.-D., Cai Q., Wang Z., Marwan N., Boccaletti S., Kurths J.","24921442300;56526035100;57102963900;56816256100;57192377511;6602268525;7006291912;35317963900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039986486&doi=10.1209%2f0295-5075%2f119%2f50008&partnerID=40&md5=e5a83b421461e637b6dc03e361bf7ec4"
"Maksimenko V.A., Lüttjohann A., Makarov V.V., Goremyko M.V., Koronovskii A.A., Nedaivozov V., Runnova A.E., Van Luijtelaar G., Hramov A.E., Boccaletti S.","56572360300;35102865500;56459531300;57191907277;7004189995;57194150119;55758753300;7004102585;6603156741;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026444903&doi=10.1103%2fPhysRevE.96.012316&partnerID=40&md5=60045e75c99d5399c4842c6077df9ec8"
"Perc M., Jordan J.J., Rand D.G., Wang Z., Boccaletti S., Szolnoki A.","6505878570;56044438100;23095594600;57192377511;7006291912;6701809628;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054706084&doi=10.1016%2fj.physrep.2017.05.004&partnerID=40&md5=d775caa3d5d32838a65060e67d5eac95"
"Leyva I., Sevilla-Escoboza R., Sendiña-Nadal I., Gutiérrez R., Buldú J.M., Boccaletti S.","55398853600;26654545800;6602499111;36898262500;6602820274;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017093209&doi=10.1038%2fsrep45475&partnerID=40&md5=b4eb0f1598daf7aae2fdb2621ac365e3"
"Singh A., Jalan S., Boccaletti S.","57199212143;56152342900;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017279300&doi=10.1063%2f1.4979798&partnerID=40&md5=c1894baaf501ae9f087dcd109e307577"
"Jalan S., Yadav A., Sarkar C., Boccaletti S.","56152342900;56494108000;56061232900;7006291912;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012257193&doi=10.1016%2fj.chaos.2017.01.021&partnerID=40&md5=0f572e86882aa2c68787646c455355d2"
